313,1,躺,-,"leżeć
kłaść się
położyć się",
314,1,躭,-,"opóźnienie
zwłoka
spóźnienie
przeszkadzanie
utrudnianie
powstrzymywanie
wałęsanie
kręcenie się",
315,1,躩,-,"krótkie kroki
małe kroki
szybkie branie
szybkie wzięcie",
316,1,躧,-,"sandał
sandały",
317,1,躝,-,"pełzać
skradać się
czołgać się
przechodzić
wykraczać
owijać się wokół
oplatać się wokół",
318,1,躞,-,"spacer
chód
chodzić
spacerować",
319,1,躚,-,"obracać się
krążyć
spacerować
przechadzać się
chodzić
wędrować
błądzić
włóczyć się",
320,1,躛,-,"przesadzać
wyolbrzymiać
przejaskrawiać",
321,1,躔,-,ruch słońca/księżyca przez niebo,
322,1,躕,-,"wahać się
chwiać się
drżeć",
323,1,躐,-,"krok w poprzek
przestąpić",
324,1,躒,-,"poruszać się
chodzić
iść",
325,1,躉,-,"sprzedaż lub kupno hurtowe
sklep",
326,1,躂,-,"potknięcie
poślizg",
327,1,蹱,-,"zataczać się
chwiać się
upadać",
328,1,蹰,-,"wahać się
chwiać się
drżeć",
329,1,蹻,-,"odważny
dzielny
mężny
śmiały
silny
sandały
buty",
330,1,蹺,-,podnosić własną stopę,
331,1,蹹,-,"tupać
stemplować
pieczętować
deptać
chodzić
spacerować
iść",
332,1,蹢,-,"wahać się
chwiać się
kopyto",
333,1,蹡,-,"chodzenie
poruszanie
kulenie
kusztykanie",
334,1,蹩,-,"kulenie
kusztykanie",
335,1,蹬,-,"tracenie energii
tracenie sił
deptać
przydeptać
nadeptywać",
336,1,蹭,-,"mitrężyć
guzdrać się
zwlekać
ociągać się",
337,1,蹐,-,"skradające się kroki
potajemne kroki",
338,1,蹔,-,"efemeryczny
ulotny
krótkotrwały
tymczasowy
przelotny
chwilowy",
339,1,蹝,-,"sandał
sandały",
340,1,蹜,-,"chodzić ostrożnie
chodzić uważnie",
341,1,蹀,-,"tańczyć
położyć stopę
opuszczać",
342,1,蹁,-,"iść wiotko
iść bezwładnie",
343,1,蹏,-,"kopyto
noga świni",
344,1,踶,-,łapa,
345,1,踴,-,"taniec
skok
podskok",
346,1,踱,-,"kroczyć
stąpać
spacerować
iść powoli",
347,1,踰,-,iść po drugiej stronie,
348,1,踽,-,"samodzielny
niezależny
iść samotnie",
349,1,踹,-,"kopnięcie
deptać
tratować
kroczyć",
350,1,踦,-,"goleń
piszczel
przebić
przekłuć
dotyk
dotknięcie",
351,1,踧,-,"nerwowość
niepokój
lęk",
352,1,踢,-,"kopnięcie
kopniak
kop",
353,1,踣,-,przewracanie się martwego sztywnego ciała,
354,1,踡,-,"spiralny
zwinięty
skręcony",
355,1,踔,-,"przodować
przewyższać
prześcigać
uprzedzać
wyprzedzać
przekroczyć",
356,1,踖,-,"deptać
tratować
kroczyć",
357,1,踟,-,"wahać się
zawahać się
chwiać się",
358,1,踆,-,"kucać
kucnąć
przykucać
kulić",
359,1,踈,-,"niedbały
nieostrożny
niestaranny
zaniedbanie
lekceważenie",
360,1,踋,-,"noga
stopa",
361,1,脘,-,"wewnętrzne wgłębienie w brzuchu
wewnętrzne jama w brzuchu",
362,1,脞,-,"mielone mięso
drobiazg
drobnostka
bagatelka
głupstwo",
363,1,脗,-,"zgadzać się
pokrywać się
zbiegać się",
364,1,脖,-,"szyja
kark",
365,1,脃,-,gruczoł,
366,1,脰,-,"szyja
kark",
367,1,脵,-,"udziec
udo
zad",
